nace,esize_class,gender,age_class,lpk,education,experience,target,xgb,grb,rf,lm,svr,tf
C,1_49,F,14-29,p243,G3,7,7.98,5.1218734,5.186338106967061,5.255244076680934,5.163474121423426,5.430468119161648,5.0069184
C,1_49,F,30-39,p121,G4,1,10.03,8.92868,9.06831446339216,7.880763405508345,7.329644666905177,8.517100960980738,8.264631
C,1_49,M,30-39,p732,G3,1,6.88,4.8476763,4.066811000766488,4.562042393129137,4.366985145214767,4.7386492399026094,5.847693
C,1_49,M,50-59,p332,G2,2,2.19,3.0640707,3.3330086883167374,2.839522204150671,3.2031854968798568,2.9484632070894348,3.1363745
C,1_49,F,30-39,p216,G3,0,6.47,4.04948,4.159448711579039,4.2039446402340745,4.28039464519958,4.03391922654007,4.541357
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,50-59,p712,G2,0,3.4,3.607272,3.863546410324014,3.701201220892542,3.804345226927466,3.8125104809147987,3.4928913
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,40-49,p712,G2,0,3.4,3.7744439,3.863529842037831,3.626360835453942,4.055520167706607,3.9224134902208236,3.920155
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,30-39,p712,G2,0,3.39,3.710742,3.904452789275321,3.8870829351120495,4.233671876871988,3.807902385054394,3.7805922
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,14-29,p712,G2,0,3.4,3.6295266,3.904452789275321,3.6289155726126254,3.9298554783588795,3.7368526728455294,3.7010546
F,50_249,M,14-29,p712,G2,2,3.23,4.1709466,4.349138737760469,4.362385739924858,3.961922334268211,4.019717835148057,3.8648458
F,50_249,M,30-39,p712,G2,0,3.4,3.710742,3.904452789275321,3.8870829351120495,4.233671876871988,3.807902385054394,3.7805922
F,50_249,F,14-29,p712,G2,0,3.4,3.5147755,3.5293380380593695,3.8750194637971442,3.4887630387654838,3.7039502258749804,3.54275
C,1_49,M,50-59,p132,G4,8,8.63,5.473574,4.708423948536446,5.386753662041511,6.541632407922143,3.705966735805358,4.967369
C,1_49,M,60+,p722,G2,12,6.48,4.117622,3.9723110035929645,4.136616425925512,3.6346601359048494,3.783829309776479,4.065127
C,1_49,M,40-49,p723,G2,4,6.48,3.76742,3.675958487834747,4.057239839134333,3.7555815064640763,3.8895627005552535,3.6042852
J,1_49,F,50-59,p351,G2,3,2.24,2.9499981,2.998898945622969,2.967802885689892,3.033268382942037,2.85272476016299,3.201023
J,1_49,M,50-59,p351,G2,3,2.24,3.407632,3.1973083567708094,3.2785213462423264,3.4743608225354325,3.340080653239731,2.8773806
J,1_49,F,50-59,p351,G4,3,2.24,3.15583,3.360524951120522,3.6595232062090557,4.026651442823409,2.852696254807861,2.78645
J,1_49,F,60+,p264,G4,3,2.24,3.1148307,3.970668234739334,3.6069840618952242,4.541732603170907,2.853017733366981,3.1804204
